tweet, sentiment, polarity
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.34331689765458445,Negative
b"Major bias towards Ekholm after watching him v ANA and PIT. I'd let someone bite on Duchene if I'm Poile. https://t.co/2f3NvwQFKS",-0.41682098765432096,Negative
b"RT @NPostSports: Bold moves turned Poile into NHL's top GM https://t.co/ja66lHT33F https://t.co/7Dm3uYsY4e",-0.41254182754182844,Negative
b"RT @NPostSports: Bold moves turned Poile into NHL's top GM https://t.co/ja66lHT33F https://t.co/7Dm3uYsY4e",-0.4019240669240678,Negative
b'RT @NHL: David Poile of the @PredsNHL has been selected as the General Manager of the Year. #NHLAwards https://t.co/RCYH7aKkXH',-0.4097659402744158,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.3974341192787803,Negative
b"Bold moves turned Poile into NHL's top GM https://t.co/ja66lHT33F https://t.co/7Dm3uYsY4e",-0.43861354065435665,Negative
b'RT @NHL: David Poile of the @PredsNHL has been selected as the General Manager of the Year. #NHLAwards https://t.co/RCYH7aKkXH',-0.3970540758676362,Negative
b'RT @NickInParkEx: If Bergevin lost a scorer of James Neal quality for NOTHING, there would be riots outside the Bell Centre tonight. But Po\xe2\x80\xa6',-0.3992146596858641,Negative
b"Je dors \xc3\xa0 poile mais j'ai tjrs aussi chaud.",-0.41749999999999954,Negative
b'RT @PredsNHL: Congrats to our GM David Poile! None more deserving. #Preds https://t.co/MzAae5cyTF',-0.3882772530499813,Negative
b'David Poile est encore une fois en mode \xc2\xaball-in\xc2\xbb https://t.co/TSNQvgRykn #sport',-0.41312499999999963,Negative
b'@apfleisc Wondering if Poile could swing prospects and picks for Hamonic then move him to COL for Duchene?',-0.4364130434782605,Negative
b'David Poile est encore une fois en mode \xc2\xaball-in\xc2\xbb \xe2\x86\x92 https://t.co/kjOdx4a02E https://t.co/XthNTGY7ny',-0.41143822393822355,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.390152565880722,Negative
b'RT @AdamVingan: David Poile was the runaway winner. He had 112 points. Peter Chiarelli was second with 52.',-0.39372119815668233,Negative
b"@samtpage if the #preds are paying a 37 year old radulov $7 million dollars, i wil personally go to Poile's house a\xe2\x80\xa6 https://t.co/jcvqqNJlOU",-0.39333333333333315,Negative
b'RT @ChaseOnGame: Poile made the right call. It stinks to lose a player the caliber of Neal, but you have to look a few years down the road.\xe2\x80\xa6',-0.3697702859879588,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.33943452380952394,Negative
